TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
BRK,PG,PG,PG,CJ,Watson,72,18,2.5,6.4,39.00%,0.85,2.2,0.385,1.17,1.5,78.00%,7,0.3,1.3,1.6,2.6,1.3,2,0.75,0.15,1.6,0,0,1296,179.71,460.8,38.00%,60.984,158.4,0.38,84.24,108,78.00%,504.65,21.6,93.6,115.2,187.2,93.6,54,10.8,115.2,,CJ Watson
DAL,PG/SG,PG/SG,PG,Delonte,West,66,15,2.58,6,43.00%,0.81,2.2,0.37,1.03,1.2,86.00%,7,0.2,1.6,1.8,2.2,1.3,1.69,1,0.15,1.3,0,0,990,170.28,396,43.00%,53.724,145.2,0.37,68.112,79.2,86.00%,462.4,13.2,105.6,118.8,145.2,85.8,66,9.9,85.8,AVOID,Delonte West
MEM,PG,PG,SG,Josh,Selby,70,15,2.26,5.8,39.00%,1.35,3.6,0.375,1.13,1.4,80.50%,7,0.3,1.1,1.4,1.6,1.8,0.89,0.7,0.05,1.5,0,0,1050,158.34,406,39.00%,94.5,252,0.375,78.89,98,80.50%,490.07,21,77,98,112,126,49,3.5,105,B-ROLE,Josh Selby
CLE,PF/C,PF,PF,Jon,Leuer,74,18,2.98,6.2,48.00%,0.29,0.8,0.36,0.76,1,76.00%,7,1.3,2.5,3.8,1,0.8,1.25,0.45,0.45,2,0,0,1332,220.22,458.8,48.00%,21.312,59.2,0.36,56.24,74,76.00%,518,96.2,185,281.2,74,59.2,33.3,33.3,148,D-SLEEP,Jon Leuer
DEN,SG/SF,SF,SF,Corey,Brewer,72,18,2.688,6.4,42.00%,0.56,1.8,0.31,1.05,1.5,70.00%,7,0.6,1.4,2,1.2,0.9,1.333,0.95,0.25,1.6,0,0,1296,193.54,460.8,42.00%,40.176,129.6,0.3,75.6,108,70.00%,502.85,43.2,100.8,144,86.4,64.8,68.4,18,115.2,AVOID,Corey Brewer
DAL,SG,SG/SF,SF,Vince,Carter,70,18,2.54,6.2,41.00%,0.94,2.6,0.36,0.96,1.2,80.00%,7,0.4,2,2.4,1.5,1,1.5,0.6,0.2,1.6,0,0,1260,177.94,434,41.00%,65.52,182,0.36,67.2,84,80.00%,488.6,28,140,168,105,70,42,14,112,AVOID,Vince Carter
DAL,PG/SG,PG/SG,PG,Rodrigue,Beaubois,72,16,2.7,6.2,43.50%,0.68,2,0.34,0.9,1.1,82.00%,7,0.4,1.4,1.8,2.3,1.1,2.09,0.75,0.35,1.5,0,0,1152,194.18,446.4,43.50%,48.96,144,0.34,64.944,79.2,82.00%,502.27,28.8,100.8,129.6,165.6,79.2,54,25.2,108,,Rodrigue Beaubois
MEM,PF/C,PF/C,PF,Marreese,Speights,74,16,2.88,6,48.00%,0.02,0.1,0.17,1.06,1.4,76.00%,6.8,1.5,2.7,4.2,0.5,0.8,0.62,0.25,0.45,2.2,1,0,1184,213.12,444,47.00%,1.258,7.4,0.17,78.736,103.6,76.00%,506.23,111,199.8,310.8,37,59.2,18.5,33.3,162.8,AVOID,Marreese Speights
CHA,SF/PF,SG,SF,Jeff,Taylor,70,16,2.36,5.5,43.00%,0.81,2.2,0.37,1.28,1.7,75.00%,6.8,1,1.8,2.8,1,1.2,0.83,0.55,0.2,1.5,0,0,1120,165.55,385,44.00%,56.98,154,0.37,89.25,119,75.00%,477.33,70,126,196,70,84,38.5,14,105,D-SLEEP,Jeff Taylor
SAS,PF/C,PF/C,PF,Boris,Diaw,73,26,2.84,5.4,52.50%,0.46,1.3,0.35,0.64,0.9,71.00%,6.8,1.8,3.6,5.4,2.4,1.2,2,0.7,0.35,2.2,4,0,1898,206.96,394.2,53.00%,33.215,94.9,0.35,46.647,65.7,71.00%,493.77,131.4,262.8,394.2,175.2,87.6,51.1,25.55,160.6,,Boris Diaw
