TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
MIA,"SF,PF",SF,SF,Luol,Deng,73,32.0,5.6,12.5,45.0%,1.0,3.0,34.4%,2.8,3.5,78.6%,15.03,1.4,4.2,5.6,2.8,1.8,1.56,1.15,0.35,1.8,5,0,2336,411,913,45.0%,75,219,34.4%,201,256,78.6%,1097,102,307,409,204,131,84,26,131,,Luol Deng
UTA,PG,PG,PG,Trey,Burke,74,35.0,5.5,13.4,41.0%,2.0,5.4,37.0%,2.0,2.3,88.0%,15.01,0.5,2.7,3.2,6.4,2.4,2.67,0.80,0.05,2.2,16,0,2590,407,992,41.0%,148,400,37.0%,150,170,88.0%,1111,37,200,237,474,178,59,4,163,RS,Trey Burke
NOR,"PF,C",PF,PF,Ryan,Anderson,71,30.0,5.3,12.2,43.5%,2.5,6.4,39.5%,1.9,2.2,84.5%,15.00,2.4,3.8,6.2,0.9,1.0,0.90,0.55,0.25,2.2,8,0,2130,377,866,43.5%,179,454,39.5%,132,156,84.5%,1065,170,270,440,64,71,39,18,156,,Ryan Anderson
DET,"PF,C","PF,C",C,Greg,Monroe,76,32.0,6.0,11.8,51.0%,0.0,0.0,0.0%,2.9,4.4,67.0%,14.98,3.0,6.0,9.0,2.2,2.4,0.92,1.20,0.55,2.4,30,0,2432,457,897,51.0%,0,0,#DIV/0!,224,334,67.0%,1139,228,456,684,167,182,91,42,182,,Greg Monroe
SAS,"PF,C","PF,C",C,Tim,Duncan,70,28.0,5.9,12.0,49.5%,0.0,0.1,20.0%,3.1,4.1,74.5%,14.95,1.8,7.4,9.2,2.8,2.0,1.40,0.60,1.90,1.7,28,0,1960,416,840,49.5%,1,7,20.0%,214,287,74.5%,1047,126,518,644,196,140,42,133,119,,Tim Duncan
MIN,C,C,C,Nikola,Pekovic,70,26.0,5.9,11.2,53.0%,0.0,0.0,0.0%,3.0,4.0,74.0%,14.83,3.3,4.7,8.0,0.8,1.3,0.62,0.55,0.60,2.0,22,0,1820,416,784,53.0%,0,0,#DIV/0!,207,280,74.0%,1038,231,329,560,56,91,39,42,140,,Nikola Pekovic
DEN,PF,PF,PF,Kenneth,Faried,78,31.0,6.1,11.0,55.0%,0.0,0.0,0.0%,2.7,4.2,65.0%,14.83,3.4,6.4,9.8,1.4,2.0,0.70,1.00,1.00,2.8,42,0,2418,472,858,55.0%,0,0,#DIV/0!,213,328,65.0%,1157,265,499,764,109,156,78,78,218,SS,Kenneth Faried
BOS,"PG,SG","PG,SG",SG,Avery,Bradley,74,30.0,5.8,13.0,44.8%,1.8,4.4,40.0%,1.4,1.8,78.8%,14.83,0.6,2.4,3.0,1.4,1.6,0.88,1.15,0.25,2.6,1,0,2220,431,962,44.8%,130,326,40.0%,105,133,78.8%,1097,44,178,222,104,118,85,19,192,RS,Avery Bradley
BOS,"PF,C","PF,C",C,Jared,Sullinger,74,31.0,5.6,12.0,46.4%,1.5,4.2,36.4%,2.1,2.7,77.0%,14.74,3.4,6.3,9.7,2.0,2.2,0.91,0.75,0.55,3.6,32,0,2294,412,888,46.4%,113,311,36.4%,154,200,77.0%,1091,252,466,718,148,163,56,41,266,RS,Jared Sullinger
MIN,"SF,PF","SF,PF",PF,Thaddeus,Young,77,32.0,6.1,13.0,46.6%,0.7,2.4,30.0%,1.8,2.6,71.0%,14.68,2.0,4.5,6.5,1.8,1.6,1.13,1.75,0.55,2.8,7,0,2464,466,1001,46.6%,55,185,30.0%,142,200,71.0%,1131,154,347,501,139,123,135,42,216,,Thaddeus Young
